,0,1
419,a-woman-with-courage-and-a-belgian-malinois-328,1
420,a-yorkie-is-my-bff-friend-forever-long-sleeve-697,1
421,adopt-a-catahoula-leopard-dog-tshirt-rescue-660,1
422,adopt-a-dog-save-a-life-rescue-belgian-826,1
423,adopt-a-dog-save-a-life-rescue-belgian-320,1
424,adopt-a-dog-save-a-life-rescue-german-741,1
425,adopt-a-dog-save-a-life-rescue-german-970,1
426,adopt-a-dog-save-a-life-rescue-scottish-737,1
427,adopt-a-dog-save-a-life-rescue-scottish-618,1
428,adopt-a-dog-tee-dog-rescue-animal-lover-tee-846,1
429,adopt-and-rescue-animal-tshirt-for-animal-302,1
430,adopt-dont-shop-dog-funny-dog-dad-mom-735,1
431,adopt-dont-shop-tshirt-rescue-animals-shirt-572,1
432,adorable-anatomy-of-a-newfoundland-dog-shirt-702,1
433,adulting-would-not-recommend-funny-one-star-530,1
434,adventure-time-ice-king-geo-tshirt-copy-mug-247,1
435,adventure-time-sugar-zombies-tshirt-mug-288,1
436,afghan-hound-dog-vintage-retro-gift-for-198,1
437,agility-dog-tshirt-love-wine-and-dogs-that-697,1
438,airedale-terrier-dabbing-tshirt-funny-dab-dog-843,1
439,airedale-terrier-dabbing-tshirt-funny-dab-dog-982,1
440,airedale-terrier-mom-gift-my-sunshine-556,1
441,airedale-terrier-mom-gift-my-sunshine-706,1
442,akita-american-flag-patriotic-dog-gift-long-296,1
443,akita-funny-dog-tilt-head-cute-gift-men-women-844,1
444,akita-irish-american-flag-st-patricks-day-343,1
445,akita-pullover-hoodie-copy-mug-749,1
446,akita-pullover-hoodie-mug-878,1
447,akita-vintage-graphic-shirt-dog-owner-dog-mom-182,1
448,akita-vintage-graphic-shirt-dog-owner-dog-mom-969,1
449,alaskan-in-pocket-hat-cute-christmas-dog-654,1
450,alaskan-malamute-dog-mom-silhouette-retro-968,1
451,alaskan-malamute-dog-mom-silhouette-retro-974,1
452,alaskan-malamute-irish-clover-st-patrick-day-314,1
453,alaskan-malamute-mom-sweatshirt-copy-mug-460,1
454,aliner-travel-trailer-aframe-camper-with-dog-775,1
455,all-i-care-about-are-my-dogs-and-like-maybe-3-500,1
456,all-i-need-is-coffee-and-my-dog-it-is-too-63,1
457,all-i-need-is-love-and-a-boxer-dog-sweatshirt-434,1
458,all-i-need-is-love-and-a-pomsky-sweatshirt-814,1
459,all-i-need-is-my-dog-and-my-jeeps-t-shirt-288,1
460,all-i-want-for-christmas-7-dachshunds-ugly-331,1
461,all-i-want-for-xmas-is-my-beagle-ugly-179,1
462,all-roads-lead-to-putin-nancy-pelosi-dusty-743,1
463,all-roads-lead-to-putin-nancy-pelosi-dusty-182,1
464,all-you-need-is-chihuahua-dog-lover-gift-877,1
465,all-you-need-is-love-and-a-dog-named-buddy-808,1
466,all-you-need-is-love-and-a-dog-named-lily-t-780,1
467,all-you-need-is-love-and-a-dog-named-197,1
468,all-you-need-is-love-and-a-dog-pet-animal-33,1
469,along-came-my-scottie-fun-dog-lovers-535,1
470,always-sunny-in-philadelphia-dog-painting-368,1
471,always-sunny-in-philadelphia-dog-painting-734,1
472,american-akita-inu-dog-gift-sweatshirt-080315-649,1
473,american-akita-with-love-balloons-and-408,1
474,american-akita-with-love-balloons-and-898,1
475,american-bulldog-gift-idea-pullover-hoodie-586,1
476,american-bulldog-gift-idea-pullover-hoodie-676,1
477,american-bulldog-official-dog-of-the-coolest-581,1
478,american-bully-pit-bull-dog-with-american-129,1
479,american-english-coonhound-neon-dog-shirt-33,1
480,american-english-coonhound-neon-dog-shirt-mug-360,1
481,american-eskimo-dog-gifts-american-eskimo-dog-839,1
482,american-eskimo-geek-dogeek-tshirt-dogs-book-202,1
483,american-eskimo-with-love-balloons-and-398,1
484,american-eskimo-with-love-balloons-and-887,1
485,american-flag-belgian-malinoi-4th-of-july-usa-266,1
486,american-flag-belgian-malinoi-4th-of-july-usa-834,1
487,american-flag-dog-dad-ever-pointers-usa-66,1
